ja-JP	de-DE	en-US	es-ES	fr-FR	it-IT	pt-PT	zh-HK	th-TH	tr-TR	zh-TW	ar-SA	pl-PL	el-GR	id-ID	sv-SE	ko-KR	hu-HU	cs-CZ	da-DK	fi-FI	ro-RO	no-NO	sk-SK	ru-RU	nl-BE	zh-CN	en-AU	en-IE	en-ZA	en-GB	es-MX	fr-CA	pt-BR	nl-NL	category
しゃしんをとって、いただけないでしょうか?	Würden Sie ein Foto von mir machen?	Could you take a picture of me?	¿Me tomarías una foto?	Pouvez-vous prendre une photo de moi ?	Potresti farmi una foto?	Quer uma foto minha?	可以幫我拍張照嗎？	คุณช่วยถ่ายรูปให้ฉันหน่อยได้ไหม	Bir fotoğrafımı çeker misin?	可以幫我拍張照嗎？	هل تود أخذ صورة لي؟	Zrobisz mi zdjęcie?	Θα με βγάλετε μια φωτογραφία;	Mau foto bareng?	Kan du ta en bild på mig?	제 사진 좀 찍어주시겠어요?	Csinálnál rólam egy képet?	Nechcete si mě vyfotografovat?	Vil du tage et billede af mig?	Ottaisitko minusta kuvan?	Poţi să-mi faci o poză?	Kan du ta et bilde av meg?	Odfotil by si ma, prosím?	Вы меня сфотографируете?	Zou u een foto van mij willen maken?	能给我照张照片吗？	Could you take a picture of me?	Could you take a picture of me?	Could you take a picture of me?	Could you take a picture of me?	¿Me tomarías una foto?	Pouvez-vous prendre une photo de moi ?	Quer uma foto minha?	Zou u een foto van mij willen maken?	Communication
いっしょに、しゃしんをとりませんか?	Darf ich ein Foto von Ihnen machen?	Could I take a picture with you?	¿Puedo tomarme una foto contigo?	Puis-je prendre une photo avez vous ?	Posso farmi una foto con te?	Podemos tirar uma foto os dois?	你願意和我們共進晚餐嗎？	ฉันขอถ่ายรูปกับคุณได้ไหม	Seninle bir fotoğraf çekebilir miyim?	你願意和我們共進晚餐嗎？	هل يمكنني أخذ صورة معك؟	Czy mogę zrobić sobie z tobą zdjęcie?	Μπορώ να βγάλω μια φωτογραφία μαζί σας;	Boleh saya foto kamu?	Kan jag ta en bild med dig?	당신과 같이 사진 찍어도 될까요?	Csinálhatok veled egy képet?	Mohu se s vámi vyfotografovat?	Må jeg tage et billede af dig?	Saanko ottaa meistä kahdesta kuvan?	Pot să-ţi fac o poză?	Kan jeg ta et bilde med deg?	Môžem sa s tebou odfotiť?	Можно с вами сфотографироваться?	Zou ik een foto met u mogen maken?	我能与你合照吗？	Could I take a picture with you?	Could I take a picture with you?	Could I take a picture with you?	Could I take a picture with you?	¿Puedo tomarme una foto contigo?	Puis-je prendre une photo avez vous ?	Podemos tirar uma foto os dois?	Zou ik een foto met u mogen maken?	Communication
いっしょに、おしょくじしませんか?	Möchten Sie mit uns zu Abend essen?	Would you like to have dinner with us?	¿Le gustaría cenar con nosotros?	Voulez-vous dîner avec nous ?	Ti andrebbe di cenare con noi?	Quer jantar connosco?	可以告訴我你的電話號碼嗎？	คุณอยากไปทานอาหารเย็นกับพวกเราไหม	Bizimle akşam yemeğini yemek ister misin?	可以告訴我你的電話號碼嗎？	هل تود تناول العشاء معنا؟	Czy chcesz zjeść z nami obiad?	Θα θέλατε να έρθετε για φαγητό μαζί μας;	Kamu mau makan malam bareng kita?	Skulle du vilja äta middag med oss?	우리와 함께 저녁 식사를 하시겠습니까? 	Nem jönnél el velünk vacsorázni?	Nechcete si s námi dát večeři?	Kunne du tænke dig at spise sammen med os?	Haluaisitko syödä päivällistä kanssamme?	Vrei să iei cina cu noi?	Vil du ha middag med oss?	Chceš sa s nami navečerať?	Вы хотите с нами пообедать?	Zou u met ons willen gaan eten?	你要和我们一起吃晚饭吗？	Would you like to have dinner with us?	Would you like to have dinner with us?	Would you like to have dinner with us?	Would you like to have dinner with us?	¿Le gustaría cenar con nosotros?	Voulez-vous dîner avec nous ?	Quer jantar connosco?	Zou u met ons willen gaan eten?	Communication
でんわばんごうをおしえてください	Würden Sie mir Ihre Telefonnummer geben?	Could you tell me your phone number?	¿Me dirías tu número de teléfono?	Pouvez-vous me donner votre numéro de téléphone ?	Mi daresti il tuo numero di telefono?	Posso saber o seu número de telefone?	什麼？	ฉันขอหมายเลขโทรศัพท์ของคุณได้ไหม	Bana telefon numaranı söyler misin?	什麼？	هل يمكنك أن تخبرني برقم هاتفك؟	Jaki jest twój numer telefonu?	Θα μου πείτε το τηλέφωνό σας;	Boleh minta nomormu?	Skulle jag kunna få ditt telefonnummer?	저에게 당신의 전화 번호를 알려 주시겠습니까? 	Megadnád a számod?	Řeknete mi své telefonní číslo?	Må jeg få dit telefon nummer?	Kertoisitko minulle puhelinnumerosi?	Vrei să-mi dai numărul tău de telefon?	Kan du gi meg telefonnummeret ditt?	Povieš mi tvoje telefónne číslo?	Скажете мне свой номер телефона?	Zou ik uw telefoonnummer mogen hebben?	能告诉我你的电话号码吗？	Could you tell me your phone number?	Could you tell me your phone number?	Could you tell me your phone number?	Could you tell me your phone number?	¿Me dirías tu número de teléfono?	Pouvez-vous me donner votre numéro de téléphone ?	Posso saber o seu número de telefone?	Zou ik uw telefoonnummer mogen hebben?	Communication
なに?	Was?	What?	¿Qué?	Quoi ?	Cosa?	O quê?	哪裡？	อะไร	Ne?	哪裡？	ماذا؟	Co?	Τι;	Apa?	Vad?	뭐라고?	Mi?	Co?	Hvad?	Mitä?	Ce?	Hva?	Čo?	Что?	Wat?	什么?	What?	What?	What?	What?	¿Qué?	Quoi ?	O quê?	Wat?	Question
どこ?	Wo?	Where?	¿Dónde?	Où ?	Dove?	Onde?	誰？	ที่ไหน	Nerede?	誰？	أين؟	Gdzie?	Πού;	Di mana?	Var?	어디? 	Hol?	Kde?	Hvor?	Missä?	Unde?	Hvor?	Kde?	Где?	Waar?	哪儿？	Where?	Where?	Where?	Where?	¿Dónde?	Où ?	Onde?	Waar?	Question
だれ?	Wer?	Who?	¿Quién?	Qui ?	Chi?	Quem?	哪個？	ใคร	Kim?	哪個？	من؟	Kto?	Ποιος;	Siapa?	Vem?	누구? 	Ki?	Kdo?	Hvem?	Kuka?	Cine?	Hvem?	Kto?	Кто?	Wie?	谁？	Who?	Who?	Who?	Who?	¿Quién?	Qui ?	Quem?	Wie?	Question
どれ?	Welche?	Which?	¿Qué?	Lequel ?	Quale?	Qual?	如何？	อันไหน	Hangisi?	如何？	من؟	Który?	Ποιο;	Yang mana?	Vilken?	어느 것? 	Melyik?	Který?	Hvilken?	Kumpi?	Care?	Hvilken?	Ktorý?	Который?	Welke?	哪个？	Which?	Which?	Which?	Which?	¿Qué?	Lequel ?	Qual?	Welke?	Question
どのように?	Wie?	How?	¿Cómo?	Comment ?	Come?	Como?	何時？	อย่างไร	Nasıl?	何時？	كيف؟	Jak?	Πώς;	Gimana?	Hur?	어떻게? 	Hogyan?	Jak?	Hvordan?	Kuinka?	Cum?	Hvordan?	Ako?	Как?	Hoe?	怎么样？	How?	How?	How?	How?	¿Cómo?	Comment ?	Como?	Hoe?	Question
いつ?	Wann?	When?	¿Cuándo?	Quand ?	Quando?	Quando?	為什麼？	เมื่อไหร่	Ne zaman?	為什麼？	متى؟	Kiedy?	Πότε;	Kapan?	När?	언제?	Mikor?	Kdy?	Hvornår?	Milloin?	Când?	Når?	Kedy?	Когда?	Wanneer?	什么时候？	When?	When?	When?	When?	¿Cuándo?	Quand ?	Quando?	Wanneer?	Question
なぜ?	Warum?	Why?	¿Por qué?	Pourquoi ?	Perché?	Porquê?	浴室在哪裡？	ทำไม	Neden?	浴室在哪裡？	لماذا؟	Dlaczego?	Γιατί;	Kenapa?	Varför?	왜? 	Miért?	Proč?	Hvorfor?	Miksi?	De ce?	Hvorfor?	Prečo?	Почему?	Waarom?	为什么？	Why?	Why?	Why?	Why?	¿Por qué?	Pourquoi ?	Porquê?	Waarom?	Question
%placeは、どこですか?	Wo ist die %place?	Where is %place?	¿Dónde está el %place?	Où se trouvent les %place ?	Dov'è il %place?	Onde é a %place?	請告訴我%place怎麼走？	%placeอยู่ที่ไหน	%place nerede?	請告訴我%place怎麼走？	أين ال%place؟	Gdzie jest %place?	Πού είναι το %place;	%place di mana?	Var är %place?	%place 어디입니까? 	Hol van a %place?	Kde je %place?	Hvor er %place?	Missä %place on?	Unde este %place?	Hvor er %place?	Kde je %place?	Где %place?	Waar is het %place?	%place所在哪里？	Where is %place?	Where is %place?	Where is %place?	Where is %place?	¿Dónde está el %place?	Où se trouvent les %place ?	Onde é a %place?	Waar is het %place?	Transportation
%placeへのいきかたをおしえてください	Könnten Sie mir den Weg zur %place zeigen?	How can I get to %place?	¿Podrías decirme el camino al cuarto de %place?	Pouvez-vous m'indiquer où se trouvent les %place ?	Mi potresti dire dove si trova il %place?	Pode dizer-me onde fica a %place?	我想去%place、能告訴我怎樣走?	คุณช่วยบอกทางไป%placeหน่อยได้ไหม	Bana %place yolunu söyler misin?	我想去%place、能告訴我怎樣走?	هل يمكنك أن تخبرني عن الطريق إلى ال%place؟	Czy możesz pokazać mi drogę do %place?	Μπορείτε να μου πείτε πώς θα πάω στο %place;	%place-nya di mana?	Hur hittar jag till %place?	%place 가는 길을 알려주시겠어요? 	Megmutatná, hol van a %place?	Můžete mi říct, jak se dostanu na %place?	Kan du fortælle mig hvordan jeg finder %place?	Kertoisitko minulle, missä %place on?	Poţi să-mi arăţi unde este %place?	Kan du fortelle meg hvor %place er?	Povieš mi, prosím ťa, kde je %place?	Скажите, как пройти в %place?	Waar zou ik het %place kunnen vinden?	能告诉我%place所在哪里吗？	How can I get to %place?	How can I get to %place?	How can I get to %place?	How can I get to %place?	¿Podrías decirme el camino al cuarto de %place?	Pouvez-vous m'indiquer où se trouvent les %place ?	Pode dizer-me onde fica a %place?	Waar zou ik het %place kunnen vinden?	Transportation
これは、ニューヨークいきですか?	Fährt der nach New York?	Is this for New York?	¿Esto es para Nueva York?	Va-t-on à New York ?	Questo va a New York?	Este vai para Nova Iorque?	這是往紐約的嗎？	อันนี้สำหรับนิวยอร์ค?	Bu New York için mi?	這是往紐約的嗎？	هل هذه لمدينة نيويورك؟	Czy to dla Nowego Jorku?	Πηγαίνει στη Νέα Υόρκη;	Ini ke New York?	Är det här för New York?	뉴욕으로 갑니까?	Ez New Yorkba megy?	Jede toto do New Yorku?	Går det her til New York?	Meneekö tämä New Yorkiin?	Merge la New York?	Er dette til New York?	Ide toto do New Yorku?	Это на Нью-Йорк?	Is dit voor New York?	这是“纽约”的意思吗？	Is this for New York?	Is this for New York?	Is this for New York?	Is this for New York?	¿Esto es para Nueva York?	Va-t-on à New York ?	Este vai para Nova Iorque?	Is dit voor New York?	Transportation
まどがわにしてください	Darf ich den Fensterplatz haben?	Can I have a window seat?	¿Puedo sentarme en el asiento cerca de la ventana?	Puis-je avoir un siège côté fenêtre ?	Posso avere un posto vicino al finestrino?	Posso ficam com um lugar de janela?	我可以要求靠窗座位嗎？	ขอที่นั่งติดริมหน้าต่างได้ไหม	Cam kenarı bir yer alabilir miyim?	我可以要求靠窗座位嗎？	هل يمكنني الحصول على مقعد بجوار النافذة؟	Czy mogę mieć miejsce przy oknie?	Μπορώ να έχω μία θέση στο παράθυρο;	Boleh saya duduk dekat jendela?	Kan jag få en fönsterplats?	창가쪽 자리로 주시겠어요?	Kaphatnék ablak melletti ülést?	Mohu sedět u okna?	Kan jeg få et vinduesæde?	Saisinko ikkunapaikan?	Pot să stau eu la geam?	Kan jeg få et vindussete?	Môžem sedieť pri okne?	Можно мне место у окна?	Zou ik een stoel aan het raam mogen hebben?	我能要一个靠窗的座位吗？	Can I have a window seat?	Can I have a window seat?	Can I have a window seat?	Can I have a window seat?	¿Puedo sentarme en el asiento cerca de la ventana?	Puis-je avoir un siège côté fenêtre ?	Posso ficam com um lugar de janela?	Zou ik een stoel aan het raam mogen hebben?	Transportation
つうろがわにしてください	Darf ich den Sitz am Gang haben?	Can I have an aisle seat?	¿Puedo sentar me en el asiento cerca del pasillo?	Puis-je avoir un siège côté couloir ?	Posso avere un posto vicino al corridoio?	Posso ficar com um lugar de coxia?	我可以要求靠走道座位嗎？	ขอที่นั่งติดริมทางเดินได้ไหม	Koridor bir yer alabilir miyim?	我可以要求靠走道座位嗎？	هل يمكنني الحصول على مقعد بجوار الممر؟	Czy mogę mieć miejsce przy przejściu?	Μπορώ να έχω μία θέση στο διάδρομο;	Boleh saya duduk di pinggir?	Kan jag få en gångplats?	통로쪽 자리로 주시겠어요?	Kaphatnék folyosó melletti ülést?	Mohu sedět u chodbičky?	Kan jeg få en gangplads?	Saisinko käytäväpaikan?	Pot să stau eu la culoar?	Kan jeg få et sete i midtgangen?	Môžem sedieť pri chodbe?	Можно мне место у прохода?	Zou ik een stoel aan het gangpad mogen hebben?	我能要一个靠过道的座位吗？	Can I have an aisle seat?	Can I have an aisle seat?	Can I have an aisle seat?	Can I have an aisle seat?	¿Puedo sentar me en el asiento cerca del pasillo?	Puis-je avoir un siège côté couloir ?	Posso ficar com um lugar de coxia?	Zou ik een stoel aan het gangpad mogen hebben?	Transportation
%vehicleは、いつ、しゅっぱつしますか?	Um wie viel Uhr fährt der %vehicle ab?	What time does the %vehicle leave?	¿A qué hora sale el %vehicle?	À quelle heure le %vehicle part-il ?	A che ora parte il %vehicle?	A que horas parte o %vehicle?	%vehicle什麼時候離開？	%vehicleออกเวลากี่โมง	%vehicle ne zaman kalkıyor?	%vehicle什麼時候離開？	ما هو موعد مغادرة ال%vehicle؟	O której godzinie odjeżdża %vehicle?	Τι ώρα φεύγει το %vehicle;	Kapan %vehicle berangkat?	Vilken tid åker %vehicle?	%vehicle 몇 시에 출발합니까?	Mikor megy a %vehicle?	V kolik hodin %vehicle odjíždí?	Hvornår kører %vehicle herfra?	Mihin aikaan %vehicle lähtee?	La ce oră pleacă %vehicle?	Når drar %vehicle?	O koľkej odchádza %vehicle?	Когда отправляется %vehicle?	Hoe laat vertrekt de %vehicle?	%vehicle什么时候离开？	What time does the %vehicle leave?	What time does the %vehicle leave?	What time does the %vehicle leave?	What time does the %vehicle leave?	¿A qué hora sale el %vehicle?	À quelle heure le %vehicle part-il ?	A que horas parte o %vehicle?	Hoe laat vertrekt de %vehicle?	Transportation
どのくらい、じかんがかかりますか?	Wie lange wird es dauern?	How long does it take?	¿Cuánto tiempo se tarda?	Combien de temps le trajet dure-t-il ?	Quanto ci mette?	Quanto tempo demora?	要花多久時間？	มันใช้เวลาเดินทางนานแค่ไหน	Ne kadar sürer?	要花多久時間？	ما المدة التي يستغرقها؟	Jak długo to potrwa?	Πόση ώρα κάνει;	Perlu berapa lama?	Hur lång tid tar det?	얼마나 걸리나요? 	Mennyi időbe telik?	Jak dlouho to trvá?	Hvor lang tid tager det?	Kuinka kauan siinä menee?	Cât durează?	Hvor lang tid tar det?	Koľko to trvá?	Сколько времени это займет?	Hoe lang doet hij er over?	这个要多久？	How long does it take?	How long does it take?	How long does it take?	How long does it take?	¿Cuánto tiempo se tarda?	Combien de temps le trajet dure-t-il ?	Quanto tempo demora?	Hoe lang doet hij er over?	Transportation
ここは、どこですか?	Wo bin ich?	Where am I?	¿Dónde estoy?	Où suis-je ?	Dove sono?	Onde é que eu estou?	我在哪裡？	ฉันอยู่ที่ไหน	Neredeyim?	我在哪裡？	أين أنا؟	Gdzie ja jestem?	Πού είμαι;	Di mana saya?	Var är jag?	여기가 어디예요?	Hol vagyok?	Kde jsem?	Hvor er jeg?	Missä minä olen?	Unde sunt?	Hvor er jeg?	Kde som?	Где я?	Waar ben ik?	我在哪里？	Where am I?	Where am I?	Where am I?	Where am I?	¿Dónde estoy?	Où suis-je ?	Onde é que eu estou?	Waar ben ik?	Transportation
みちにまよいました	Ich verstehe nicht.	I get lost.	Me pierdo.	Je suis perdu.	Mi sono perso.	Perdi-me.	我迷路了。	ฉันหลงทาง	Kaybolurum.	我迷路了。	لقد ضللت الطريق.	Zgubiłem się.	Χάθηκα.	Saya tersesat.	Jag är vilse.	길을 잃었어요. 	Eltévedtem.	Ztratil jsem se.	Jeg er faret vild.	Minä eksyn.	Mă rătăcesc.	Jeg roter meg bort.	Stratil som sa.	Я потерялся.	Ik raak verdwaald.	我迷路了。	I get lost.	I get lost.	I get lost.	I get lost.	Me pierdo.	Je suis perdu.	Perdi-me.	Ik raak verdwaald.	Transportation
おります	Ich steige aus.	I'm getting off.	Me voy a bajar.	Je voudrais descendre.	Sto scendendo.	Vou sair.	我正在下車。	ฉันลงตรงนี้	Kayboluyorum.	我正在下車。	إني أهبط.	Wysiadam.	Κατεβαίνω.	Saya pergi sekarang.	Jag ska gå av.	내립니다.	Leszállok.	Právě vystupuji.	Jeg stiger af.	Nousen pois.	Cobor.	Jeg drar av gårde.	Vystupujem.	Я выхожу.	Ik stap uit.	我要下车。	I'm getting off.	I'm getting off.	I'm getting off.	I'm getting off.	Me voy a bajar.	Je voudrais descendre.	Vou sair.	Ik stap uit.	Transportation
このじゅうしょまで、いってください	Bringen Sie mich bitte zu dieser Adresse.	Take me to this address, please.	Llévame a esta dirección, por favor.	Emmenez-moi à cette adresse, s'il vous plaît.	Portami a questo indirizzo, per favore.	Leve-me para esta morada, por favor.	請帶我去這個地址。	กรุณาพาฉันไปที่ที่อยู่นี้หน่อย	Lütfen beni bu adrese götürün.	請帶我去這個地址。	أوصلني إلى هذا العنوان، من فضلك.	Proszę mnie zawieźć pod ten adres.	Πηγαίντε με σε αυτήν τη διεύθυνση, παρακαλώ.	Tolong antar saya ke alamat ini.	Ta mig till den här adressen, tack.	이 주소로 데려다주세요. 	Vigyen el ide, legyen szíves.	Vezměte mě prosím na tuto adresu.	Tag mig venligst til den her adresse.	Veisitkö minut tähän osoitteeseen, kiitos.	Du-mă la această adresă, te rog.	Vennligst før meg til denne adressen.	Zavezte ma na túto adresu, prosím.	Отвезите меня по этому адресу, пожалуйста.	Breng mij naar dit adres alstublieft.	请带我去这个地址。	Take me to this address, please.	Take me to this address, please.	Take me to this address, please.	Take me to this address, please.	Llévame a esta dirección, por favor.	Emmenez-moi à cette adresse, s'il vous plaît.	Leve-me para esta morada, por favor.	Breng mij naar dit adres alstublieft.	Transportation
まって	Warten Sie.	Hold on, please.	Espere.	Attendez.	Aspetta.	Espere.	等一等。	รอก่อน	Bekle.	等一等。	انتظر.	Czekaj.	Περιμένετε.	Tunggu.	Vänta.	기다리세요.	Várjon.	Počkejte.	Vent.	Odota.	Aşteaptă.	Vent.	Počkajte.	Подождите.	Wacht even.	等一下。	Hold on, please.	Hold on, please.	Hold on, please.	Hold on, please.	Espere.	Attendez.	Espere.	Wacht even.	Transportation
えきについたら、おしえてください	Sagen Sie mir, wenn Sie zum Bahnhof kommen.	Let me know when you get to the station.	Avísame cuando llegues a la estación.	Faites-moi savoir quand vous arrivez à la gare.	Fammi sapere quando arrivi alla stazione.	Avise-me quando chegar à estação.	當你到達車站時請告知我。	บอกให้ฉันรู้ด้วยเมื่อคุณไปถึงสถานี	Ne zaman istasyona geleceğinizi bana bildirin.	當你到達車站時請告知我。	أخبرني عندما تصل إلى المحطة.	Proszę dać mi znać, kiedy dojedziemy do stacji.	Ειδοποιήστε με, μόλις φτάσετε στο σταθμό.	Kabarin ya kalo kamu dah sampe di stasiun.	Meddela mig när du kommit till stationen.	역에 도착하면 알려주세요. 	Szóljon, ha az állomásnál vagyunk.	Řekněte mi, až budeme na nádraží.	Sig når du ankommer ved stationen.	Ilmoita minulle, kun pääset asemalle.	Spune-mi când ajungi în staţie.	Gi beskjed når du er på stasjonen.	Daj mi vedieť, keď budete na stanici.	Сообщите мне, когда доберетесь до станции.	Laat het me weten als je aankomt op het station.	你到了车站后告诉我一声。	Let me know when you get to the station.	Let me know when you get to the station.	Let me know when you get to the station.	Let me know when you get to the station.	Avísame cuando llegues a la estación.	Faites-moi savoir quand vous arrivez à la gare.	Avise-me quando chegar à estação.	Laat het me weten als je aankomt op het station.	Transportation
きっぷは、どこでかえますか?	Wo kann ich eine Fahrkarte kaufen?	Where can I buy a ticket?	¿Dónde puedo comprar un boleto?	Où puis-je acheter un ticket.	Dove posso comprare un biglietto?	Onde posso comprar um bilhete	我在哪裡可以買到票？	ฉันสามารถซื้อตั๋วได้ที่ไหน	Nereden bilet alabilirim?	我在哪裡可以買到票？	من أين يمكنني أن ابتاع تذكرة؟	Gdzie mogę kupić bilet?	Πού μπορώ να αγοράσω εισιτήριο;	Beli tiketnya di mana?	Var kan jag köpa biljett?	어디에서 티켓을 구입할 수 있습니까? 	Hol vehetek jegyet?	Kde si mohu koupit jízdenku?	Hvor kan jeg købe en billet?	Mistä voin ostaa lipun?	De unde pot cumpăra un bilet?	Hvor kan jeg kjøpe billett?	Kde si môžem kúpiť lístok?	Где я могу купить билет?	Waar kan ik een kaartje kopen?	我在哪里可以买到票？	Where can I buy a ticket?	Where can I buy a ticket?	Where can I buy a ticket?	Where can I buy a ticket?	¿Dónde puedo comprar un boleto?	Où puis-je acheter un ticket.	Onde posso comprar um bilhete	Waar kan ik een kaartje kopen?	Transportation
ニューヨークにいきたいです	Ich möchte nach New York reisen.	I would like to go to New York.	Me gustaría ir a Nueva York.	Je voudrais aller à New York.	Vorrei andare a New York.	Gostaria de ir para Nova Iorque.	我想去紐約。	ฉันอยากไปนิวยอร์ค	New York'a gitmek istiyorum.	我想去紐約。	أود الذهاب إلى نيويورك.	Chcę pojechać do Nowego Jorku.	Θα ήθελα να πάω στη Νέα Υόρκη.	Saya mau ke New York.	Jag skulle vilja åka till New York.	뉴욕에 가고싶습니다.	Szeretnék New Yorkba menni.	Rád bych jel do New Yorku.	Jeg vil gerne til New York.	Haluaisin mennä New Yorkiin.	Aş vrea să merg la New York.	Jeg har lyst å dra til New York.	Chcel by som ísť do New Yorku.	Я бы хотел(а) отправиться в Нью-Йорк.	Ik zou graag naar New York willen gaan.	我想去纽约。	I would like to go to New York.	I would like to go to New York.	I would like to go to New York.	I would like to go to New York.	Me gustaría ir a Nueva York.	Je voudrais aller à New York.	Gostaria de ir para Nova Iorque.	Ik zou graag naar New York willen gaan.	Transportation
ニューヨークまでのきっぷをください	Ich hätte gerne eine einfache Fahrkarte von hier nach New York.	I would like one-way ticket from here to New York.	Me gustaría un billete de ida desde aquí hasta Nueva York.	Je voudrais un allez simple jusqu'à New York.	Vorrei un biglietto di solo andata da qui per New York.	Queria um bilhete de ida daqui para Nova Iorque.	我要從這裡到紐約的單程票。	ฉันอยากได้ตั๋วเที่ยวเดียวจากที่นี่ไปนิวยอร์ค	Buradan New york'a tek yön bir bilet istiyorum.	我要從這裡到紐約的單程票。	أود الحصول على تذكرة ذهاب من هنا إلى نيويورك.	Poproszę bilet w jedną stronę stąd do Nowego Jorku.	Θα ήθελα ένα απλό εισιτήριο από εδώ για τη Νέα Υόρκη.	Saya mau tiket sekali jalan dari sini ke New York.	Jag skulle vilja köpa en enkelbiljett härifrån till New York.	여기에서 뉴욕으로 가는 편도 티켓을 주세요. 	Szeretnék egy oda jegyet New Yorkba.	Chtěl bych jednoduchý lístek odsud do New Yorku.	Jeg vil gerne have en et-vejs billet fra her til New York.	Haluaisin menolipun täältä New Yorkiin.	Aş vrea un bilet dus la New York.	Jeg vil ha en enveisbillett herfra til New York.	Prosím si jednosmerný lístok odtiaľto do New Yorku.	Я бы хотел(а) билет в один конец отсюда до Нью-Йорка.	Ik zou graag een enkel ticket van hier naar New York willen hebben.	我想要一张到纽约的单程票。	I would like one-way ticket from here to New York.	I would like one-way ticket from here to New York.	I would like one-way ticket from here to New York.	I would like one-way ticket from here to New York.	Me gustaría un billete de ida desde aquí hasta Nueva York.	Je voudrais un allez simple jusqu'à New York.	Queria um bilhete de ida daqui para Nova Iorque.	Ik zou graag een enkel ticket van hier naar New York willen hebben.	Transportation
