ja-JP	de-DE	en-US	es-ES	fr-FR	it-IT	pt-PT	zh-HK	th-TH	tr-TR	zh-TW	ar-SA	pl-PL	el-GR	id-ID	sv-SE	ko-KR	hu-HU	cs-CZ	da-DK	fi-FI	ro-RO	no-NO	sk-SK	ru-RU	nl-BE	zh-CN	en-AU	en-IE	en-ZA	en-GB	es-MX	fr-CA	pt-BR	nl-NL	category
タクシーをよんでください	Würden Sie mir ein Taxi rufen?	Could you call me a taxi?	¿Podrías llamar a un taxi?	Pouvez-vous appeler un taxi ?	Potresti chiamarmi un taxi?	Pode chamar-me um táxi?	你可以幫我打電話叫部計程車嗎？	ช่วยเรียกแท็กซี่ให้หน่อยได้ไหม	Bana bir taksi çağırır mısınız?	你可以幫我打電話叫部計程車嗎？	هل يمكنك استدعاء سيارة تاكسي من أجلي؟	Czy możesz zadzwonić po taksówkę?	Μπορείτε να μου καλέσετε ταξί;	Tolong panggilkan taksi.	Kan du ringa efter en taxi åt mig?	택시를 불러주시겠습니까?	Hívna nekem egy taxit?	Můžete mi zavolat taxi?	Kan du bestille en taxi til mig?	Soittaisitko minulle taksin?	Poţi să-mi chemi un taxi?	Kan du ringe etter en taxi til meg?	Môžete mi zavolať taxík?	Вы вызовите мне такси?	Zou u mij een taxi willen bellen?	你能打电话给我叫辆出租车吗？	Could you call me a taxi?	Could you call me a taxi?	Could you call me a taxi?	Could you call me a taxi?	¿Podrías llamar a un taxi?	Pouvez-vous appeler un taxi ?	Pode chamar-me um táxi?	Zou u mij een taxi willen bellen?	Transportation
つぎの%vehicleはなんじですか?	Wann kommt der nächste %vehicle an?	When will the next %vehicle arrive?	¿Cuando llegará el próximo %vehicle?	A quelle heure le prochain %vehicle arrive-t-il ?	A che ora arriva il prossimo %vehicle?	Quando chega o próximo %vehicle?	下班%vehicle哪時候會到達？	%vehicleเที่ยวต่อไปจะมาถึงเมื่อไหร่	Bir sonraki %vehicle ne zaman gelecek?	下班%vehicle哪時候會到達？	متى سيصل ال%vehicle التالي؟	Kiedy przyjedzie następny %vehicle?	Πότε φτάνει το επόμενο %vehicle;	Kapan %vehicle berikutnya datang?	När kommer nästa %vehicle?	다음 %vehicle 언제 도착합니까? 	Mikor jön a következő %vehicle?	Kdy přijede příští %vehicle?	Hvornår ankommer det næste %vehicle?	Milloin seuraava %vehicle saapuu?	La ce oră ajunge %vehicle?	Når kommer det neste %vehicle?	Kedy ide ďalší %vehicle?	Когда прибудет следующий %vehicle?	Wanneer komt de volgende %vehicle aan?	下一班%vehicle什么时候到？	When will the next %vehicle arrive?	When will the next %vehicle arrive?	When will the next %vehicle arrive?	When will the next %vehicle arrive?	¿Cuando llegará el próximo %vehicle?	A quelle heure le prochain %vehicle arrive-t-il ?	Quando chega o próximo %vehicle?	Wanneer komt de volgende %vehicle aan?	Transportation
ニューヨークへいくには、どの%vehicleにのればいいですか?	Welchen %vehicle sollte ich nach New York nehmen?	Which %vehicle should I take to New York?	¿cuál %vehicle debería tomar para Nueva York?	Quel %vehicle devrais-je prendre pour New York ?	Quale %vehicle dovrei prendere per New York?	Qual é o %vehicle para Nova Iorque?	我應該搭哪班%vehicle到紐約？	ฉันควรขึ้น%vehicleขบวนไหนเพื่อไปนิวยอร์ค?	New York için hangi %vehicle binmeliyim?	我應該搭哪班%vehicle到紐約？	ما ال%vehicle الذي يجب أن استقله إلى نيويورك؟	Który %vehicle jedzie do New York?	Ποιο %vehicle πρέπει να πάρω για Νέα Υόρκη ;	%vehicle mana yang ke New York?	Vilket %vehicle ska jag ta till New York?	뉴욕으로 가려면 어느 %vehicle 타야합니까?	Melyik %vehicle mehetek New Yorkba?	Kterým %vehicle mám jet do New Yorku?	Hvilket %vehicle bør jeg tage til New York?	Mikä %vehicle menee New Yorkiin?	Ce %vehicle ar trebui să iau pentru New York?	Hvilket %vehicle bør jeg ta til New York?	Ktorým %vehicle sa dostanem do New Yorku?	На какой %vehicle мне сесть, чтобы добраться до Нью-Йорка?	Welke %vehicle moet ik nemen om naar New York te gaan?	到纽约去要坐哪趟%vehicle？	Which %vehicle should I take to New York?	Which %vehicle should I take to New York?	Which %vehicle should I take to New York?	Which %vehicle should I take to New York?	¿cuál %vehicle debería tomar para Nueva York?	Quel %vehicle devrais-je prendre pour New York ?	Qual é o %vehicle para Nova Iorque?	Welke %vehicle moet ik nemen om naar New York te gaan?	Transportation
いそいでいます	Ich bin in Eile.	I'm in a hurry.	Estoy en un apuro.	Je suis pressé.	Vado di fretta.	Estou com pressa.	我在趕時間。	ฉันกำลังรีบ	Acelem var.	我在趕時間。	إني على عجلة من أمري.	Śpieszy mi się.	Βιάζομαι.	Saya lagi buru-buru.	Jag har bråttom.	나는 서둘러야 합니다. 	Sietek.	Spěchám.	Jeg har travlt.	Minulla on kiire.	Mă grăbesc.	Jeg har dårlig tid.	Ponáhľam sa.	Я спешу.	Ik heb haast.	我在赶时间。	I'm in a hurry.	I'm in a hurry.	I'm in a hurry.	I'm in a hurry.	Estoy en un apuro.	Je suis pressé.	Estou com pressa.	Ik heb haast.	Transportation
よやくしたいのですが	Ich möchte gerne eine Reservierung machen.	I would like to make a reservation.	Me gustaría hacer una reservación.	Je voudrais faire une réservation.	Vorrei fare una prenotazione.	Gostaria de fazer uma reserva.	我想預約。	ฉันอยากทำการจอง	Bir rezervasyon yaptırmak istiyorum.	我想預約。	أود أن أقوم بعملية حجز.	Chcę dokonać rezerwacji.	Θα ήθελα να κάνω μία κράτηση.	Saya mau booking.	Jag skulle vilja göra en bokning.	예약을 하고 싶습니다. 	Szeretnék szobát foglalni.	Rád bych si udělal rezervaci.	Jeg vil godt lave en reservation.	Haluaisin tehdä varauksen.	Aş vrea să fac o rezervare.	Jeg vil gjerne gjøre en bestilling.	Chcel by som si rezervovať miesto.	Я бы хотел(а) сделать бронь.	Ik zou graag een reservering willen maken.	我想预约。	I would like to make a reservation.	I would like to make a reservation.	I would like to make a reservation.	I would like to make a reservation.	Me gustaría hacer una reservación.	Je voudrais faire une réservation.	Gostaria de fazer uma reserva.	Ik zou graag een reservering willen maken.	Hotel
こんや、とまれますか?	Haben Sie heute Nacht noch Zimmer frei?	Do you have any rooms available for tonight?	¿Tienes alguna habitación disponible para esta noche?	Avez-vous une chambre disponible pour la nuit ?	Avete stanze disponibili per stanotte?	Tem quartos disponíveis para hoje?	今天晚上還有空的房間嗎？	คุณมีห้องว่างสำหรับคืนนี้ไหม?	Bu akşam için odanız var mı?	今天晚上還有空的房間嗎？	هل لديكم أية غرف متاحة لليلة؟	Czy są wolne pokoje na dzisiaj?	Έχετε διαθέσιμα δωμάτια για απόψε;	Ada kamar kosong untuk malam ini?	Har ni några lediga rum ikväll?	오늘 밤에 사용할 수 있는 객실이 있습니까?	Van ma estére üres szobájuk?	Máte na dnešek nějaké volné pokoje?	Har i nogle værelser ledige til i aften?	Onko teillä vapaita huoneita täksi illaksi?	Aveţi vreo cameră disponibilă pentru noaptea aceasta?	Har du noen ledige rom i kveld?	Máte nejaké voľné izby na túto noc?	У вас есть свободные номера на сегодняшнюю ночь?	Heeft u nog kamers beschikbaar voor vanavond?	你们今晚有空房吗？	Do you have any rooms available for tonight?	Do you have any rooms available for tonight?	Do you have any rooms available for tonight?	Do you have any rooms available for tonight?	¿Tienes alguna habitación disponible para esta noche?	Avez-vous une chambre disponible pour la nuit ?	Tem quartos disponíveis para hoje?	Heeft u nog kamers beschikbaar voor vanavond?	Hotel
ねだんのやすいホテルをさがしています	Ich suche ein billiges Hotel.	I'm looking for a cheap hotel.	Estoy buscando un hotel barato.	Je recherche un hôtel bon marché.	Sto cercando un hotel economico.	Procuro um hotel barato.	我在找便宜旅館。	ฉันมองหาโรงแรมราคาถูก	Ucuz bir otel arıyorum.	我在找便宜旅館。	إنني أبحث عن فندق رخيص.	Szukam taniego hotelu.	Ψάχνω για ένα φθηνό ξενοδοχείο.	Saya cari hotel murah.	Jag letar efter ett billigt hotell.	저렴한 호텔을 찾고 있어요. 	Olcsó hotelt keresek.	Hledám levný hotel.	Jeg leder efter et billigt hotel.	Etsin halpaa hotellia.	Caut un hotel ieftin.	Jeg er ute etter et billig hotell.	Hľadám lacnejší hotel.	Я ищу недорогой отель.	Ik ben op zoek naar een goedkoop hotel.	我在找一间便宜的旅馆。	I'm looking for a cheap hotel.	I'm looking for a cheap hotel.	I'm looking for a cheap hotel.	I'm looking for a cheap hotel.	Estoy buscando un hotel barato.	Je recherche un hôtel bon marché.	Procuro um hotel barato.	Ik ben op zoek naar een goedkoop hotel.	Hotel
ねだんのやすいへやをさがしています	Ich hätte gerne ein billiges Zimmer.	I would like cheaper room.	Me gustaría una habitación más barata.	Je voudrais une chambre moins chère.	Vorrei una stanza più economica.	Queria um quarto mais barato.	我想要便宜一點的房間。	ฉันอยากได้ห้องที่ถูกกว่านี้	Daha ucuz bir oda istiyorum.	我想要便宜一點的房間。	أود أن أحصل على غرفة أرخص.	Chcę tańszy pokój.	Θα ήθελα πιο φθηνό δωμάτιο.	Saya mau kamar yang murah.	Jag skulle vilja ha ett billigare rum.	저렴한 방으로 부탁합니다. 	Olcsó szoba keresek.	Chtěl bych levnější pokoj.	jeg vil gerne have et billigere værelse.	Haluaisin halvemman huoneen.	Aş dori o cameră mai ieftină.	Jeg ønsker et billigere rom.	Chcel by som lacnejšiu izbu.	Я бы хотел(а) номер подешевле.	Ik zou graag een goedkopere kamer willen hebben.	我想要一间更便宜的房间。	I would like cheaper room.	I would like cheaper room.	I would like cheaper room.	I would like cheaper room.	Me gustaría una habitación más barata.	Je voudrais une chambre moins chère.	Queria um quarto mais barato.	Ik zou graag een goedkopere kamer willen hebben.	Hotel
ひとりべやがいいです	Ich hätte gerne ein Einzelzimmer.	I would like single room.	Me gustaría una habitación individual.	Je voudrais une chambre individuelle.	Vorrei una stanza singola.	Queria um quarto single.	我想要單人房。	ฉันอยากได้ห้องเดี่ยว	Tek kişilik oda istiyorum.	我想要單人房。	أود الحصول على غرفة فردية.	Chcę pokój jednoosobowy.	Θα ήθελα ένα μονό δωμάτιο.	Saya mau kamar single.	Jag skulle vilja ha ett enkelrum.	싱글룸으로 부탁합니다. 	Egyágyas szobát szeretnék.	Chtěl bych jednolůžkový pokoj.	Jeg vil gerne have et enkeltværelse.	Haluaisin yhden hengen huoneen.	Aş vrea o cameră single.	Jeg ønsker et enkeltrom.	Chcem izbu pre jedného, prosím.	Я бы хотел(а) одноместный номер.	Ik zou graag een eenpersoonskamer willen hebben.	我想要一间单间。	I would like single room.	I would like single room.	I would like single room.	I would like single room.	Me gustaría una habitación individual.	Je voudrais une chambre individuelle.	Queria um quarto single.	Ik zou graag een eenpersoonskamer willen hebben.	Hotel
シャワーつきのへやがいいです	Ich hätte gerne ein Einzelzimmer mit Bad.	I would like a single room with a bathroom.	Quisiera una habitación individual con un baño.	Je voudrais une chambre individuelle avec salle de bains.	Vorrei una stanza singola con bagno.	Queria um quarto single com banheira.	我想要附浴室的單人房。	ฉันอยากได้ห้องเดี่ยวพร้อมอ่างอาบน้ำ	Tek kişilik banyolu bir oda istiyorum.	我想要附浴室的單人房。	أود الحصول على غرفة فردية مع مرحاض.	Chcę pokój jednoosobowy z łazienką.	Θα ήθελα ένα μονό δωμάτιο με μπάνιο.	Saya mau kamar single dengan kamar mandi.	Jag skulle vilja ha ett enkelrum med bad.	욕조가 있는 싱글룸으로 부탁합니다. 	Egyágyas szobát szeretnék, fürdőszobával.	Chtěl bych jednolůžkový pokoj s koupelnou.	Jeg vil gerne have et enkeltværelse med bad.	Haluaisin yhden hengen huoneen kylpyammeella.	Aş vrea o cameră single cu baie.	Jeg ønsker et enkeltrom med bad.	Chcel by som izbu pre jedného s kúpeľňou, prosím.	Я бы хотел(а) одноместный номер с ванной.	Ik zou graag een eenpersoonskamer met bad willen hebben.	我想要一间配有浴缸的单间。	I would like a single room with a bathroom.	I would like a single room with a bathroom.	I would like a single room with a bathroom.	I would like a single room with a bathroom.	Quisiera una habitación individual con un baño.	Je voudrais une chambre individuelle avec salle de bains.	Queria um quarto single com banheira.	Ik zou graag een eenpersoonskamer met bad willen hebben.	Hotel
%numberにち、とまりたいです	Ich möchte %number Tage bleiben.	I would like to stay for %number days.	Me gustaría quedarme por %number días.	Je voudrais rester pendant %number jours.	Vorrei rimanere per %number giorni.	Queria ficar %number dias.	我想要待%number天。	ฉันอยากพักสัก%numberวัน	%number gün kalmak istiyorum.	我想要待%number天。	أود الإقامة لمدة أ %number أيام.	Chcę zatrzymać się na %number dni.	Θα ήθελα να μείνω %number μέρες.	Saya mau menginap selama %number hari.	Jag vill stanna %number dagar.	%number일 동안 숙박하기를 원합니다.	%number napot szeretnék maradni.	Chtěl bych zde zůstat %number dny.	Jeg vil gerne være her i %number dage.	Haluaisin viipyä %number päivää.	Aş vrea să rămân pentru %number zile.	Jeg ønsker å bli i %number dager.	Chcel by som zostať %number noci.	Я хочу остановиться на %number дня.	Ik zou graag %number dagen willen verblijven.	我想逗留%number天。	I would like to stay for %number days.	I would like to stay for %number days.	I would like to stay for %number days.	I would like to stay for %number days.	Me gustaría quedarme por %number días.	Je voudrais rester pendant %number jours.	Queria ficar %number dias.	Ik zou graag %number dagen willen verblijven.	Hotel
へやをみせてください	Könnten Sie mir das Zimmer zeigen?	Can you show the room?	¿Podrías mostrarme la habitación?	Pouvez-vous me montrer la chambre ?	Potresti mostrarmi la stanza?	Posso ver o quarto?	你可以告訴我房間怎麼走嗎？	ช่วยพาไปดูห้องหน่อยได้ไหม	Bana odayı gösterir misiniz?	你可以告訴我房間怎麼走嗎？	هل يمكنك أن تريني الغرفة؟	Czy mogę zobaczyć pokój?	Θα μπορούσατε να μου δείξετε το δωμάτιο;	Bisa tunjukkan di mana kamarnya?	Kan du visa mig rummet?	객실을 보여주실 수 있나요?	Megmutatná a szobát?	Můžete mi pokoj ukázat?	Vil du vise mig værelset?	Voisitko näyttää huoneen?	Îmi puteţi arăta camera?	Kan du vise meg rommet?	Môžete mi ukázať izbu, prosím?	Вы покажите номер?	Zou u mij de kamer kunnen laten zien?	你能让我看一下房间吗？	Can you show the room?	Can you show the room?	Can you show the room?	Can you show the room?	¿Podrías mostrarme la habitación?	Pouvez-vous me montrer la chambre ?	Posso ver o quarto?	Zou u mij de kamer kunnen laten zien?	Hotel
%numberじに、とうちゃくします	Ich werde um %number Uhr dort sein.	I'll be there at %number.	Estaré allí a las %number.	Je serai là à %number heures de l'après-midi.	Sarò lì alle %number.	Estarei lá às %number da tarde.	我%number點會在那裡。	ฉันจะไปถึงที่นั่นตอน%fourโมงเย็น	Saat %number orada olacağım.	我%number點會在那裡。	سأكون هناك في %number.	Będę o %number.	Θα είμαι εκεί στις %number.	Saya akan datang jam %number.	Jag anländer klockan %number.	나는 %number시에 거기에 있을거예요.	Ott leszek %number-kor.	Budu tam ve %number hodiny.	Jeg er der klokken %number.	Olen siellä %number ltä.	Voi fi acolo la %number.	Jeg kommer dit klokken %number.	Budem tam o %number.	Я буду там в %number часов.	Ik ben er om %number.	我会在%number点到那	I'll be there at %number.	I'll be there at %number.	I'll be there at %number.	I'll be there at %number.	Estaré allí a las %number.	Je serai là à %number heures de l'après-midi.	Estarei lá às %number da tarde.	Ik ben er om %number.	Hotel
%numberじに、おこしてください	Würden Sie mich um %number Uhr wecken?	Can you wake me up at %number?	¿Podrías despertarme a las %number?	Pouvez-vous me réveiller à %number heures du matin ?	Potresti venirmi a prendere alle %number?	Pode acordar-me às %number da manhã?	你可以早%number點叫我起床嗎？	คุณช่วยปลุกฉันตอน%number	Beni saat %number de alabilir misiniz?	你可以早%number點叫我起床嗎？	هل يمكنك إيقاظي في %number؟	Proszę mnie obudzić o %number.	Μπορείτε να με ξυπνήσετε στις %number;	Bisa bangunkan saya jam %number?	Kan ni väcka mig klockan %number?	%number시에 저 좀 깨워 주시겠어요? 	Felkeltene %number-kor?	Můžete mě vzbudit v %number?	Kan du vække mig klokken %number?	Voisitteko herättää minut %number ltä?	Poţi să mă trezeşti la %number?	Kan du vekke meg til %number?	Môžete ma zobudiť o %number, prosím?	Можете меня разбудить в %number часов?	Zou u mij om %number willen wekken?	你可以%number点叫醒我吗？	Can you wake me up at %number?	Can you wake me up at %number?	Can you wake me up at %number?	Can you wake me up at %number?	¿Podrías despertarme a las %number?	Pouvez-vous me réveiller à %number heures du matin ?	Pode acordar-me às %number da manhã?	Zou u mij om %number willen wekken?	Hotel
チェックアウトは、なんじですか?	Bis wann muss ich abreisen?	What time will we checkout?	¿A qué hora es la salida?	À quelle heure dois-je libérer la chambre ?	A che ora è il checkout?	A que horas é o checkout?	退房時間是幾點？	เช็คเอาท์เวลากี่โมง	Kontrol ne zaman?	退房時間是幾點？	ما هو وقت الخروج؟	O której jest wymeldowanie?	Ποια είναι η ώρα αναχώρησης;	Waktu checkout-nya kapan?	Vilken tid är utcheckningen?	체크 아웃은 몇 시입니까? 	Mikor kell elhagynom a szobát?	V kolik hodin mám opustit pokoj?	Hvornår skal der checkes ud?	Mihin aikaan täytyy kirjautua ulos?	La ce oră este check out-ul?	Når er utsjekkingstiden?	O koľkej sa odhlasuje?	Во сколько выписка?	Hoe laat moet ik uitchecken?	退房时间是什么时候？	What time will we checkout?	What time will we checkout?	What time will we checkout?	What time will we checkout?	¿A qué hora es la salida?	À quelle heure dois-je libérer la chambre ?	A que horas é o checkout?	Hoe laat moet ik uitchecken?	Hotel
おゆがでません	Es gibt kein heißes Wasser.	Hot water couldn't come out.	El agua caliente no salía.	Il n'y a pas d'eau chaude.	Non c'è l'acqua calda.	Não sai água quente.	熱水出不來。	ไม่มีน้ำร้อนออกมา	Sıcak su gelmedi.	熱水出不來。	لا توجد مياه ساخنة.	Nie mam ciepłej wody.	Δεν έχει ζεστό νερό.	Air panasnya enggak keluar.	Det kommer inget varmvatten.	더운 물이 나오지 않습니다. 	Nincs melegvíz.	Neteče teplá voda.	Der er intet varmt vand.	Lämmintä vettä ei tullut.	Nu există apă caldă.	Det kom ikke ut varmt vann.	Nešla mi teplá voda.	Нет горячей воды.	Er komt geen heet water uit.	没有热水出来。	Hot water couldn't come out.	Hot water couldn't come out.	Hot water couldn't come out.	Hot water couldn't come out.	El agua caliente no salía.	Il n'y a pas d'eau chaude.	Não sai água quente.	Er komt geen heet water uit.	Hotel
にもつをあずかってもらえますか?	Würden Sie mein Gepäck aufbewahren?	Can you keep my baggage?	¿guardarías mi equipaje?	Pouvez-vous garder mes bagages ?	Potresti tenere il mio bagaglio?	Pode guardar-me a bagagem?	你可以幫我看管行李嗎？	ช่วยเก็บกระเป๋าเดินทางไว้ให้ก่อนได้ไหม	Bagajımı tutar mısınız?	你可以幫我看管行李嗎？	هل يمكنك الاحتفاظ بحقائبي؟	Proszę przechować mój bagaż.	Μπορείτε να κρατήσετε τις αποσκευές μου;	Bisa simpan barang-barang aku ?	Kan ni förvara mitt bagage?	제 짐을 보관해 주시겠습니까?	Vigyázna a bőröndömre?	Mohu si zde nechat zavazadla?	Vil du holde mit baggage?	Säilyttäisittekö matkatavaroitani?	Poţi să-mi păstrezi bagajul?	Kan du bevare bagasjen min?	Postaráte sa mi o batožinu?	Можно у вас оставить багаж?	Zou u mijn bagage kunnen opslaan?	能帮我保存行李吗？	Can you keep my baggage?	Can you keep my baggage?	Can you keep my baggage?	Can you keep my baggage?	¿guardarías mi equipaje?	Pouvez-vous garder mes bagages ?	Pode guardar-me a bagagem?	Zou u mijn bagage kunnen opslaan?	Hotel
もういっぱく、とまれますか?	Ich möchte für eine Nacht bleiben.	I would like to stay one more night.	Me gustaría quedarme una noche más.	Je voudrais rester une nuit de plus.	Vorrei rimanere un'altra notte.	Queria ficar mais uma noite.	我想要再多住一晚。	ฉันอยากพักต่ออีกคืน	Bir gece daha kalmak istiyorum.	我想要再多住一晚。	أود البقاء لمدة ليلة أخرى.	Chcę zatrzymać się na jeszcze jedną noc.	Θα ήθελα να μείνω άλλο ένα βράδυ.	Saya mau menginap satu malam lagi.	Jag skulle vilja stanna en natt till.	하룻밤 더 숙박하고 싶습니다.	Szeretnék még egy napot maradni.	Chtěl bych tady zůstat ještě jednu noc.	Jeg vil gerne blive her en nat mere.	Haluaisin viipyä vielä yhden yön.	Aş vrea să mai rămân încă o noapte.	Jeg ønsker å bli en natt til.	Chcel by som tu zostať ešte jednu noc, prosím.	Я хочу остаться еще на одну ночь.	Ik zou graag nog een nacht willen verblijven.	我想再住一晚。	I would like to stay one more night.	I would like to stay one more night.	I would like to stay one more night.	I would like to stay one more night.	Me gustaría quedarme una noche más.	Je voudrais rester une nuit de plus.	Queria ficar mais uma noite.	Ik zou graag nog een nacht willen verblijven.	Hotel
ちかくで、おすすめのレストランをおしえてください	Könnten Sie ein schönes Restaurant in der Nähe empfehlen?	Could you recommend a nice restaurant around here?	¿Podrías recomendarme un buen restaurante cerca de aquí?	Pouvez-vous me recommander un bon restaurant à proximité ?	Potresti consigliarmi un buon ristorante nei dintorni?	Pode recomendar um bom restaurante aqui perto?	你能推薦一個附近不錯的餐廳嗎？	ช่วยแนะนำร้านอาหารดีๆใกล้นี้ได้ไหม	Bu yakınlarda güzel bir restoran tavsiye eder misiniz?	你能推薦一個附近不錯的餐廳嗎？	هل يمكنك أن توصي بمطعم قريب من هنا؟	Czy możesz mi polecić miła restauracja w pobliżu?	Μπορείτε να μου προτείνετε ένα καλό εστιατόριο εδώ κοντά;	Bisa kasi rekomendasi restoran bagus dekat sini?	Kan ni rekommendera en bra restaurang i närheten?	근처의 좋은 식당을 추천해 주시겠어요? 	Tudna ajánlani egy jó kis éttermet a közelben?	Můžete mi doporučit poblíž nějakou dobrou restauraci?	Kan du foreslå en god restaurant i nærheden?	Voisitko suositella hyvää ravintolaa lähistöllä?	Îmi poţi recomanda un restaurant drăguţ în apropiere?	Kan du anbefale en bra restaurant i nærheten?	Môžete mi odporučiť v blízkosti dobrú reštauráciu?	Вы можете порекомендовать хороший ресторан поблизости?	Zou u mij een goed restaurant in de buurt kunnen aanbevelen?	你能推荐一间附近的好餐馆吗？	Could you recommend a nice restaurant around here?	Could you recommend a nice restaurant around here?	Could you recommend a nice restaurant around here?	Could you recommend a nice restaurant around here?	¿Podrías recomendarme un buen restaurante cerca de aquí?	Pouvez-vous me recommander un bon restaurant à proximité ?	Pode recomendar um bom restaurante aqui perto?	Zou u mij een goed restaurant in de buurt kunnen aanbevelen?	Restaurant
